epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20511.2,1.85273,0.92601,1.09182,0.72509,0.46831,0.52735,0.2993,1.7665,0.83309,1.07889,0.00643101,0.00643101,0.00643101
43,21004.6,1.85066,0.92323,1.09172,0.73061,0.46738,0.52826,0.30021,1.76526,0.8317,1.07798,0.00628101,0.00628101,0.00628101
44,21497.6,1.84959,0.92235,1.09059,0.73231,0.46632,0.52902,0.30062,1.76418,0.83029,1.07707,0.00612981,0.00612981,0.00612981
45,21991.8,1.84848,0.91937,1.0897,0.73197,0.46591,0.5302,0.30122,1.76316,0.82885,1.07619,0.00597754,0.00597754,0.00597754
46,22483.3,1.8444,0.91609,1.08712,0.73275,0.46727,0.53091,0.30193,1.76226,0.82745,1.0753,0.00582435,0.00582435,0.00582435
47,22977.7,1.84124,0.91528,1.08645,0.73595,0.4661,0.5318,0.3027,1.7612,0.82629,1.07437,0.0056704,0.0056704,0.0056704
48,23471,1.84062,0.91457,1.08576,0.73697,0.46644,0.533,0.30351,1.76021,0.8252,1.07354,0.00551584,0.00551584,0.00551584
49,23963.1,1.83832,0.91182,1.08529,0.73951,0.46692,0.53389,0.30388,1.75909,0.82413,1.07269,0.00536081,0.00536081,0.00536081
50,24454.8,1.83457,0.90934,1.08399,0.74121,0.46776,0.53475,0.30435,1.75811,0.82302,1.0719,0.00520548,0.00520548,0.00520548
51,24944.7,1.83435,0.90905,1.08456,0.74287,0.46925,0.53563,0.30477,1.75721,0.82212,1.07115,0.00505,0.00505,0.00505
52,25437.7,1.83292,0.90761,1.08292,0.7388,0.47235,0.53613,0.30526,1.7563,0.82108,1.0704,0.00489452,0.00489452,0.00489452
53,25929.2,1.83079,0.90505,1.0823,0.74074,0.47206,0.53665,0.30577,1.75555,0.82009,1.06975,0.00473919,0.00473919,0.00473919
54,26423.4,1.82772,0.90286,1.08243,0.73571,0.47466,0.53728,0.30632,1.75473,0.81918,1.06905,0.00458416,0.00458416,0.00458416
55,26917.3,1.82419,0.89912,1.08032,0.73523,0.47346,0.53752,0.3069,1.75413,0.81826,1.06846,0.0044296,0.0044296,0.0044296
56,27411.5,1.82321,0.89747,1.07775,0.73515,0.47436,0.53792,0.30705,1.75324,0.81734,1.06773,0.00427565,0.00427565,0.00427565
57,27904.7,1.82124,0.8969,1.07907,0.73365,0.47508,0.53859,0.30722,1.75256,0.81659,1.06711,0.00412246,0.00412246,0.00412246
58,28397.3,1.81829,0.89538,1.07809,0.7339,0.47548,0.53948,0.30776,1.75179,0.81586,1.06647,0.00397019,0.00397019,0.00397019
59,28888.8,1.82201,0.89468,1.07803,0.73584,0.47572,0.53992,0.30818,1.7509,0.81514,1.06577,0.00381899,0.00381899,0.00381899
60,29380.5,1.81373,0.89053,1.07573,0.73194,0.47876,0.5407,0.30869,1.75026,0.81446,1.06525,0.00366899,0.00366899,0.00366899
61,29872.9,1.81464,0.88925,1.07525,0.7323,0.47883,0.54112,0.30902,1.74968,0.81369,1.06474,0.00352037,0.00352037,0.00352037
62,30364.3,1.80956,0.88626,1.07416,0.73305,0.47845,0.54181,0.30949,1.74921,0.81297,1.0642,0.00337325,0.00337325,0.00337325
63,30855.7,1.80979,0.88553,1.07387,0.73175,0.47862,0.5427,0.3102,1.74858,0.81217,1.06371,0.00322778,0.00322778,0.00322778
64,31347.1,1.80296,0.88034,1.0723,0.73184,0.47913,0.54294,0.31056,1.74803,0.81148,1.06323,0.00308412,0.00308412,0.00308412
65,31840.2,1.80437,0.87933,1.07052,0.73136,0.47889,0.54355,0.31068,1.74751,0.81092,1.06268,0.00294239,0.00294239,0.00294239
66,32332.4,1.80187,0.87948,1.07043,0.72777,0.4822,0.5438,0.3112,1.74695,0.81025,1.06215,0.00280275,0.00280275,0.00280275
67,32823.1,1.79936,0.87588,1.07016,0.73231,0.48082,0.5438,0.31163,1.74647,0.80967,1.06172,0.00266532,0.00266532,0.00266532
68,33313.7,1.79847,0.87433,1.07036,0.72733,0.48604,0.54514,0.312,1.74585,0.80908,1.0613,0.00253024,0.00253024,0.00253024
69,33803.8,1.7954,0.87222,1.06826,0.73182,0.48363,0.54562,0.3124,1.7453,0.8086,1.06086,0.00239766,0.00239766,0.00239766
70,34293.3,1.79198,0.86874,1.06806,0.72898,0.48543,0.54585,0.31261,1.74485,0.80821,1.06044,0.00226769,0.00226769,0.00226769
71,34783,1.78964,0.86574,1.06627,0.73038,0.48726,0.54668,0.31312,1.74453,0.80776,1.06003,0.00214046,0.00214046,0.00214046
72,35273.3,1.78937,0.86567,1.06606,0.73146,0.48793,0.54744,0.3137,1.74429,0.80741,1.05963,0.00201611,0.00201611,0.00201611
73,35768.2,1.7833,0.86077,1.06428,0.73208,0.48803,0.54776,0.31425,1.74403,0.80704,1.05926,0.00189475,0.00189475,0.00189475
74,36259.5,1.78313,0.86006,1.06351,0.73326,0.48787,0.54797,0.31465,1.74387,0.80645,1.05891,0.00177651,0.00177651,0.00177651
